Participant_ID,ABCB1,ABCG2,ABCC1,ABCC2,ABCC3,ABCC4,SLC10A2,SLC15A1,SLC16A1,SLC22A1,SLC22A2,SLC22A3,SLC22A4,SLC22A5,SLC22A6,SLC22A7,SLC22A8,SLC28A2,SLC29A1,SLC29A2,SLC51A,SLC51B,SLCO2B1,CYP1A2,CYP2A6,CYP2D6,CYP2E1,CYP3A4,CYP3A5,SULT1A1,SULT1A3
C3002,2265,2263,1393,10,6438,688,13,113,6464,4,1,53,43,1826,1,0,1,1289,399,441,8,1271,1984,0,0,21,2,44,1529,3252,4
C3003,8076,8286,1200,17,8237,2374,25,110,14695,3,0,57,231,3701,0,0,0,203,435,589,254,2155,3316,0,1,49,5,379,1312,2606,1
C3004,1144,850,1896,20,5595,2031,3,77,5395,6,0,98,51,1025,0,0,0,5416,1048,539,309,747,5416,0,0,78,12,233,750,978,1
C3005,4160,617,1072,22,11262,634,17,256,2643,10,0,20,115,1505,0,0,0,638,380,699,18,1341,1020,0,0,16,4,296,11824,1707,1
C3006,608,811,2924,41,4544,1582,6,559,1614,10,1,178,132,472,1,1,0,1276,1002,375,83,692,3759,1,1,35,7,124,1485,1114,1
C3011,4424,1320,1806,25,10385,1622,17,484,6428,5,0,81,122,1020,1,0,1,716,1154,453,425,850,6433,0,0,29,4,226,1264,4179,3
C3015,2779,238,2274,38,7010,1731,27,166,1564,8,3,117,111,1320,1,1,2,2850,894,740,8,781,4305,0,1,28,15,45,3054,1065,3
C3016,1760,405,3278,53,4155,2585,30,482,1957,15,5,143,473,363,1,0,3,426,1349,119,38,493,2864,0,2,25,15,95,2850,564,2
C3017,6109,4516,1069,22,7615,1087,13,1638,3675,1,0,58,298,2127,1,0,0,7273,648,647,148,2064,3384,0,0,117,10,1010,2198,2607,1
C3021,933,420,3544,51,5447,1984,10,1052,2767,12,2,60,92,918,1,2,0,731,1179,515,10,1601,4673,0,0,16,31,36,2147,835,2
C3022,2549,2004,545,39,4576,1172,27,275,3443,6,0,25,126,1315,0,0,1,2605,494,348,12,903,1819,0,0,48,12,463,1369,3045,1
C3023,5066,2263,818,35,6269,809,9,473,3665,9,3,27,367,1935,0,0,0,2225,835,413,124,1521,3213,0,0,172,22,459,2627,1655,0
C3027,2935,1986,700,32,6560,898,19,510,2144,9,0,91,290,2760,0,1,0,2924,698,547,156,1305,2346,1,0,81,15,204,2005,3880,2
C3029,660,1149,2248,37,3142,1610,9,145,1589,6,2,131,135,441,0,1,1,729,1348,215,64,403,3325,0,0,8,19,57,2363,500,1
C3030,5328,4505,1321,22,8301,945,20,273,2798,5,2,46,125,1944,0,0,0,4391,720,633,215,1193,4181,0,0,54,14,78,2906,1438,4
C3031,2810,4534,1001,29,8136,1475,20,201,4877,8,0,19,152,1829,0,1,0,1710,994,810,80,2582,4053,0,2,23,16,122,1272,2941,7
C3032,3918,6402,1102,26,6416,1200,31,94,10362,5,1,214,79,1491,0,0,2,65,302,230,2276,1941,3102,0,1,27,6,77,1513,1924,2
C3034,2365,2241,1303,10,7445,726,65,213,14370,10,0,102,82,2806,0,1,0,290,462,477,953,2671,2857,1,1,41,1,130,1779,2425,1
C3035,2553,2974,1199,20,7794,841,15,545,2868,5,3,59,103,1555,0,0,0,2327,616,558,145,1538,2743,1,0,32,3,281,1238,1398,2
C3037,5189,3971,1087,13,11044,544,43,1663,12280,8,3,263,47,941,0,0,0,4189,453,669,297,3051,2980,1,1,35,3,132,1257,3747,2
