Name,Alternative name,Category,"Include (1,2)"
ABCB1,p-gp,A,1
ABCG2,BCRP,B,1
ABCC1,MRP1,B,1
ABCC2,MRP2,B,1
ABCC3,MRP3,B,1
ABCC4,MRP4,B,1
SLC10A2,ASBT,C,1
SLC15A1,PEPT1,C,1
SLC16A1,MCT1,C,1
SLC22A1,Oct1,C,1
SLC22A2,Oct2,C,1
SLC22A3,Oct3,C,1
SLC22A4,OCTN1,C,1
SLC22A5,OCTN2,C,1
SLC22A6,OAT1,C,1
SLC22A7,OAT2,C,1
SLC22A8,OAT3,C,1
SLC28A2,CNT2,C,1
SLC29A1,ENT1,C,1
SLC29A2,ENT2,C,1
SLC51A,OSTα,C,1
SLC51B,OSTβ,C,1
SLCO2B1,OATP2B1,C,1
CYP1A2,,M,1
CYP2A6,,M,1
CYP2D6,,M,1
CYP2E1,,M,1
CYP3A4,,M,1
CYP3A5,,M,1
SULT1A1,,OT,1
SULT1A3,,OT,1
DHFR,,OT,2
FAAH,,OT,2
FPGS,,OT,2
GGH,,OT,2
GMPS,,OT,2
GSTA1,,OT,2
GSTA2,,OT,2
GSTM1,,OT,2
GSTP1,,OT,2
HPRT1,,OT,2
IMPDH1,,OT,2
IMPDH2,,OT,2
MTHFR,,OT,2
NAT1,,OT,2
NAT2,,OT,2
NUDT15,,OT,2
PGD,,OT,2
Q9BY32,,OT,2
TPMT,,OT,2
TYMS,,OT,2
UGT1A1,,OT,2
UGT1A6,,OT,2
UGT1A9,,OT,2
UGT2B15,,OT,2
XDH,,OT,2
ABCA5,,OT,2
ABCC10,,OT,2
ABCC11,,OT,2
FOLR1,,OT,2
FOLR2,,OT,2
SLC10A1,,OT,2
SLC19A1,,OT,2
SLC28A3,,OT,2
SLC2A9,,OT,2
SLC36A1,,OT,2
SLC43A3,,OT,2
SLC46A1,,OT,2
SLC46A1,,OT,2
SLCO1A2,,OT,2
SLCO1B1,,OT,2
SLCO1B1,,OT,2
SLCO1B3,,OT,2
SLCO1C1,,OT,2
SLCO3A1,,OT,2
SLCO4C1,,OT,2
