iter	MultiClass
0	1.09701524
1	1.095376933
2	1.094051193
3	1.092645106
4	1.091106267
5	1.089136121
6	1.087468381
7	1.085574394
8	1.084221653
9	1.083036292
10	1.081385288
11	1.079795207
12	1.07775436
13	1.07620088
14	1.074651546
15	1.073125161
16	1.071449787
17	1.069579744
18	1.067656674
19	1.066651528
20	1.065230087
21	1.063994856
22	1.062665724
23	1.061197515
24	1.059892287
25	1.058737873
26	1.05752074
27	1.056222815
28	1.054765438
29	1.053579115
30	1.05205139
31	1.050468349
32	1.049431862
33	1.047807944
34	1.04639278
35	1.044718959
36	1.043029905
37	1.041571957
38	1.040362417
39	1.0387911
40	1.037577584
41	1.03640818
42	1.03522863
43	1.033672314
44	1.032254589
45	1.030950625
46	1.029728634
47	1.028213482
48	1.026813706
49	1.025787168
50	1.024276202
51	1.022799876
52	1.021718643
53	1.020523228
54	1.019121727
55	1.017911912
56	1.016553373
57	1.015142232
58	1.013723437
59	1.012602495
60	1.011858444
61	1.010455315
62	1.008918321
63	1.007562297
64	1.006560333
65	1.0051383
66	1.003892174
67	1.002308166
68	1.001055621
69	1.000211466
70	0.9990444117
71	0.9978435839
72	0.9968683876
73	0.9958940407
74	0.9948486846
75	0.9935990587
76	0.9923767998
77	0.9915326881
78	0.9906200788
79	0.9896147735
80	0.9881298429
81	0.9867362329
82	0.9857604482
83	0.984806396
84	0.9834774208
85	0.9824009216
86	0.9806944708
87	0.9792578462
88	0.9777526003
89	0.9769747574
90	0.9758372603
91	0.9745206252
92	0.9735070316
93	0.97253013
94	0.9715980982
95	0.9705528218
96	0.96932662
97	0.968330187
98	0.9674527398
99	0.9661551048
